Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Bank in Zuzwil AG,9524 Zuzwil; Zuzwil SG,http://www.bankbiz.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank J. Safra Sarasin AG,4002 Basel; Basel,http://www.jsafrasarasin.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank
Bank Julius Baer & Co. Ltd.,Zürich,,swissICT,1,ICT / digital,
Bank Julius Bär & Co. AG,8010 Zurich; Zürich,http://www.juliusbaer.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank; Representatives of foreign collective investment schemes (CISA)
Bank Leerau Genossenschaft,5054 Kirchleerau; Kirchleerau,http://www.bankleerau.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank Oberaargau AG,Huttwil,,FINMA,1,Regulated financial services,Bank
"Bank of America Europe Designated Activity Company, Dublin Zurich Branch",8002 Zurich,http://www.ml.com/,Swiss Banking,1,Banking,
"Bank of America Europe Designated Activity Company, Dublin, Zweigniederlassung Zürich",Zürich,,FINMA,1,Regulated financial services,Foreign bank branch office
"Bank of China Limited, Geneva Branch",1204 Genève,https://www.bankofchina.com/ch/en/index.html,Swiss Banking,1,Banking,
"Bank of China Limited, succursale de Genève",Genève,,FINMA,1,Regulated financial services,Foreign bank branch office
Bank SLM AG,3110 Münsingen; Münsingen,http://www.bankslm.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank Thalwil Genossenschaft,8800 Thalwil; Thalwil,http://www.bankthalwil.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank von Roll AG,8027 Zurich; Zürich,http://www.bankvonroll.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank Vontobel AG,8002 Zurich; Zürich,http://www.vontobel.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
BANK ZIMMERBERG AG,8810 Horgen; Horgen,http://www.bankzimmerberg.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
bank zweiplus ag,8048 Zurich; Zürich,http://www.bankzweiplus.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank-now AG,Horgen,,FINMA,1,Regulated financial services,Bank
Bannek Werkzeug- & Formenbau AG,Tübach,http://www.bannek.ch/,Swissmechanic,1,Industry / SMEs,"Bannek Werkzeug- & Formenbau AG, Wiesenstrasse 3, 9327 Tübach"
Banque Algérienne du Commerce Extérieur S.A.,8021 Zurich,http://www.bace.ch/,Swiss Banking,1,Banking,
Banque Algérienne du Commerce Extérieur SA,Zürich,,FINMA,1,Regulated financial services,Bank
BANQUE AUDI (SUISSE) SA,1205 Genève; Genève 12,http://www.bankaudipb.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Banorient (Suisse) SA,1211 Genève; Genève 3,https://www.banorientsuisse.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Bonhôte & Cie SA,2001 Neuchâtel; Neuchâtel,http://www.bonhote.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Cantonale de Fribourg,1701 Fribourg; Fribourg,http://www.fkb.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Cantonale de Genève,1211 Genève; Genève 2,http://www.bcge.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank
Banque Cantonale du Jura SA,2900 Porrentruy; Jura; Porrentruy 2,http://www.bcj.ch/,FINMA; Swiss Banking; swisscleantech,3,Banking; Cleantech / energy; Regulated financial services,Bank; Finanz- und Versicherungsdienstleister
Banque Cantonale du Valais,1951 Sion; Sion,http://www.wkb.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque cantonale neuchâteloise,2001 Neuchâtel; Neuchâtel,http://www.bcn.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Cantonale Vaudoise,1003 Lausanne; Lausanne; Waadt,http://www.bcv.ch/,FINMA; Swiss Banking; swisscleantech,3,Banking; Cleantech / energy; Regulated financial services,Bank; Custodian bank; Finanz- und Versicherungsdienstleister
Banque Cramer & Cie SA,1211 Genève; Genève 12,http://www.banquecramer.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque de Commerce et de Placements SA,1211 Genève; Genève 3,https://www.bcp.bank/en,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Des Monts Blancs SA,Genève 1,,FINMA,1,Regulated financial services,Bank
Banque du Léman SA,1201 Genève; Genève 1,http://www.banqueduleman.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Eric Sturdza SA,1211 Genève; Genève 3,http://www.banque-es.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
"Banque Havilland (Liechtenstein) AG in Liquidation, Vaduz, Zweigniederlassung Zürich in Liquidation",Zürich,,FINMA,1,Regulated financial services,Foreign bank branch office
BANQUE HERITAGE SA,1211 Genève; Genève 6,http://www.heritage.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Representatives of foreign collective investment schemes (CISA)
Banque Internationale à Luxembourg (Suisse) SA,8001 Zürich; Zürich,http://www.bil.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Internationale de Commerce - BRED (Suisse) SA,1204 Genève; Genève,https://www.bic-bred.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banque Lombard Odier & Cie SA,1211 Genève; Bellevue,http://www.lombardodier.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank
Banque Pictet & Cie SA,1211 Genève; Genève 73,http://www.group.pictet/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank
Banque Raiffeisen Ajoie société coopérative,Porrentruy,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Alpes Riviera Chablais Vaudois société coopérative,Aigle,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Broye Vully Lacs société coopérative,Domdidier,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Clos du Doubs et Haute-Ajoie société coopérative,Courtedoux,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen d'Assens société coopérative,Assens,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen d'Yverdon-les-Bains société coopérative,Yverdon-les-Bains,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen de Gimel société coopérative,Gimel,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen de la Broye société coopérative,Granges-près-Marnand,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen de Lavaux société coopérative,Puidoux,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen de Massongex/St-Maurice/Vérossaz société coopérative,Massongex,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen de Monthey société coopérative,Monthey,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen de Sierre & Région société coopérative,Sierre,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen des Communes du Haut-Plateau société coopérative,Chermignon,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen des Montagnes Neuchâteloises société coopérative,La Chaux-de-Fonds,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen du Gros-de-Vaud société coopérative,Echallens,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen du Haut-Léman société coopérative,Vionnaz,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen du Mont-Tendre société coopérative,Apples,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen du Val-Terbi société coopérative,Vicques,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Entremont société coopérative,Le Châble VS,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Franches-Montagnes société coopérative,Saignelégier,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Fribourg-Ouest société coopérative,Villars-sur-Glâne,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Genève Lac société coopérative,Genève,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Grand Chasseral société coopérative,Sonceboz-Sombeval,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Lausanne-Haute-Broye-Jorat société coopérative,Lausanne,,FINMA,1,Regulated financial services,Raiffeisen bank
"Banque Raiffeisen Martigny et Région, société coopérative",Fully,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Moléson société coopérative,La Tour-de-Trême,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Mont-Aubert Orbe société coopérative,Montagny-près-Yverdon,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Morges Venoge société coopérative,Morges,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Neuchâtel et Vallées société coopérative,Neuchâtel,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Nyon-La Vallée société coopérative,Nyon,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Région Delémont société coopérative,Courrendlin,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Région Genève Rhône société coopérative,Bernex,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Région Marly-Cousimbert société coopérative,Rossens FR,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Sarine-Ouest société coopérative,Belfaux,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Sion et Région société coopérative,Sion,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Vallée d'Illiez société coopérative,Troistorrents,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Raiffeisen Villes et Vignobles genevois société coopérative,Châtelaine,,FINMA,1,Regulated financial services,Raiffeisen bank
Banque Richelieu (Schweiz) AG,Zürich,,FINMA,1,Regulated financial services,Bank
Banque SYZ SA,1201 Genève; Genève,http://www.syzgroup.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banques Des Monts Blancs SA,1211 Genève,https://www.banquedmb.com/fr,Swiss Banking,1,Banking,
BANTLEON AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Bantleon Convertible Experts AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
BAOBAB ENERGY Sàrl,Savièse,https://baobab.energy,Swissolar,1,Solar / energy,Chemin des Bisses 9
BAR Informatik AG,,https://www.swissmadesoftware.org/en/companies/bar-informatik-ag/home.html,Swiss Made Software,1,Software,
Barcap Invest AG,Luzern,,FINMA,1,Regulated financial services,Portfolio manager
Barclays Bank (Suisse) SA,1211 Genève; Genève 3,http://www.barclays.co.uk/privatebank,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
"Barclays Capital, Zurich Branch of Barclays Bank PLC, London",8027 Zürich; Zürich,http://www.barcap.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Foreign bank branch office
Barconnière,Nontron,https://barconniere.com/,Swissolar,1,Solar / energy,"ZI Goulat, 1215 Rte Paul Jaures"
Baremo GmbH,Romanshorn,https://www.baremo.ch,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Baremo GmbH, Amriswilerstrasse 47, 8590 Romanshorn"
Barnes Group Suisse Industries GmbH,Root D4,,Swissmem,1,Industry / engineering,
Barry Callebaut Re AG,Zürich,,FINMA,1,Regulated financial services,reinsurance captive
Bartholet Maschinenbau AG,,http://www.bartholet.swiss,Swissrail,1,Rail / transport technology,
Bartholet Ropeways AG,Flums,https://www.bartholet.swiss,Swissmechanic; Swissmem; Swissrail,3,Industry / engineering; Industry / SMEs; Rail / transport technology,"Bartholet Ropeways AG, Lochrietstrasse 21, 8890 Flums"
Bärtschi Mechanik,Dättwil AG,http://www.baertschi-mechanik.ch/,Swissmechanic,1,Industry / SMEs,"Bärtschi Mechanik, Täfernstrasse 18, 5405 Dättwil AG"
BARTU ASSET MANAGEMENT SARL,Vandoeuvres,,FINMA,1,Regulated financial services,Portfolio manager
Baryon AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Basel Area,,,digitalswitzerland,1,Digital economy,
Basel Area Business & Innovation,Basel-Stadt,https://baselarea.swiss/de/,swisscleantech,1,Cleantech / energy,Finanz- und Versicherungsdienstleister
Basel Biotech Consulting GmbH,,https://www.swissbiotech.org/listing/basel-biotech-consulting-gmbh-2/,Swiss Biotech Association,1,Biotech,
Basel Job AG,4052 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=17305,Swiss Staffing,1,Staffing / HR,
Baseline Wealth Management SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Basellandschaftliche Gebäudeversicherung,Basel-Landschaft,https://bgv.ch/,swisscleantech,1,Cleantech / energy,Finanz- und Versicherungsdienstleister
Basellandschaftliche Kantonalbank,4410 Liestal; Liestal,http://www.blkb.ch/,FINMA; Swiss Banking; swissICT,3,Banking; ICT / digital; Regulated financial services,Bank
BASF Schweiz AG,Postfach 4005 Basel,https://www.basf.ch,scienceindustries,1,Pharma / biotech / chemistry,
BASF Schweiz AG - Standort Kaisten,Hardmatt 434 5082 Kaisten,https://,scienceindustries,1,Pharma / biotech / chemistry,
BASF Schweiz AG - Standort Monthey,Route de l'Ile-au-Bois 1870 Monthey,https://,scienceindustries,1,Pharma / biotech / chemistry,
BASF Schweiz AG - Standort Pfäffikon,Huobstrasse 3 8808 Pfäffikon,https://www.basf.ch,scienceindustries,1,Pharma / biotech / chemistry,
BASF Schweiz AG - Standort Schweizerhalle,Rheinfelderstrasse 4133 Schweizerhalle,https://,scienceindustries,1,Pharma / biotech / chemistry,
Basilea Pharmaceutica AG,,https://www.swissbiotech.org/listing/basilea-pharmaceutica-ag/,Swiss Biotech Association,1,Biotech,
Basler & Hofmann AG,Zürich,https://www.baslerhofmann.ch,Swissolar; Swissrail,2,Rail / transport technology; Solar / energy,Forchstrasse 395
Basler Kantonalbank,4051 Basel; Basel,http://www.bkb.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank
Basso Global Advisors AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Bati-Services,Perly,https://www.batiservice.ch,Swissolar,1,Solar / energy,Route de St-Julien 288
Batijob SA,1004 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=17308,Swiss Staffing,1,Staffing / HR,
Batix Schweiz AG,8954 Geroldswil,https://www.batix.ch/,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
BATT Suisse GmbH,,https://swiss-aerospace-cluster.ch/portfolio-item/batt-gmbh/,Swiss Aerospace Cluster,1,Aerospace / engineering,
Bau + Agro Personal AG,8505 Dettighofen b. L; 8580 Amriswil; 9470 Buchs SG,https://www.swissstaffing.ch/en/Members/index.php?id=18335,Swiss Staffing,1,Staffing / HR,
Bau- und Verkehrsdirektion Generalsekretariat - Digital Management,Bern,,swissICT,1,ICT / digital,
Bauart Architekten und Planer AG,Bern,https://www.bauart.ch,Swissolar,1,Solar / energy,Laupenstrasse 20
Bauberger AG,Elgg,http://www.bauberger.ch/,Swissmechanic,1,Industry / SMEs,"Bauberger AG, St. Gallerstrasse 19, 8353 Elgg"
Bauerfeind AG,Canton of Aargau,https://www.bauerfeind.ch/,Swiss Medtech,1,Medical technology,
Baumann & Cie KmG,4002 Basel; Basel,http://www.baumann-banquiers.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
"Baumann Elektro AG, Münsingen",Münsingen,https://www.baumannelektro.ch,Swissolar,1,Solar / energy,Südstrasse 1
BAUMANN Federn AG,Ermenswil,https://www.baumann-federn.ch,Swissmem,1,Industry / engineering,
Baumer Electric AG,,http://www.baumer.com/railway,Swissrail,1,Rail / transport technology,
Baumgartner Maschinenbau AG,Münchenbuchsee,http://www.baumitech.ch/,Swissmechanic,1,Industry / SMEs,"Baumgartner Maschinenbau AG, Gewerbestrasse 11, Lätti, 3053 Münchenbuchsee"
Baumgartner Reha Fahrzeuge GmbH,Canton of Zurich,https://www.reha-fahrzeuge.ch/,Swiss Medtech,1,Medical technology,
Baumüller Swiss AG,Frauenfeld,https://www.baumueller.ch,Swissmem,1,Industry / engineering,
Baunex GmbH,,https://www.swissmadesoftware.org/en/companies/baunex-gmbh/home.html,Swiss Made Software,1,Software,
Baur AG,Säriswil,http://www.baurdach.ch/,Swissolar,1,Solar / energy,Staatsstrasse 42
BauSpektrum AG,Bern,https://bauspektrum.ch/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
Bauval Investment Partners SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Bavarian Nordic Berna GmbH,,https://www.swissbiotech.org/listing/bavarian-nordic-berna-gmbh/,Swiss Biotech Association,1,Biotech,
bawaco ag,Bern,https://www.bawaco.com,Swissmem,1,Industry / engineering,
Baxiva AG,,https://www.swissbiotech.org/listing/baxiva-ag/,Swiss Biotech Association,1,Biotech,
Baxter AG,Canton of Zurich; Thurgauerstrasse 130 8152 Glattpark-Opfikon,https://www.baxter.ch/,scienceindustries; Swiss Medtech,2,Medical technology; Pharma / biotech / chemistry,
Bayer,,,Interpharma,1,Research-based pharma,
Bayer (Schweiz) AG,Grubenstrasse 8 8045 Zürich,https://www.bayer.ch,scienceindustries,1,Pharma / biotech / chemistry,
Bayer Consumer Care AG,Peter-Merian Strasse 84 4052 Basel,https://www.bayer.com,scienceindustries,1,Pharma / biotech / chemistry,
Bayer CropScience Schweiz AG,Rothausstrasse 61 4132 Muttenz 1,https://www.agrar.bayer.ch,scienceindustries,1,Pharma / biotech / chemistry,
Bazzi & Eckert Ventures GmbH,8472 Seuzach,https://www.beventures.ch/,Swico,1,ICT / consumer electronics,
Bazzile Technology SA,,https://www.swissmadesoftware.org/en/companies/bazzile-technology-sa/home.html,Swiss Made Software,1,Software,
BB InTec AG,Rotkreuz,https://www.bbintec.com,Swissmem,1,Industry / engineering,
BBAM SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
BBC Bircher AG,Beringen,https://www.bircher.com,Swissmem,1,Industry / engineering,
BBC Cellpack Technology AG,Canton of Aargau; Villmergen; Worben,https://technology.cellpack.com/de/home,Swiss Medtech; Swissmechanic,2,Industry / SMEs; Medical technology,"BBC Cellpack Technology AG, Anglikerstrasse 99, 5612 Villmergen; BBC Cellpack Technology AG, Unterworbenstrasse 51, 3252 Worben"
BBGI GROUP SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets
bbi Software AG,Cham,,swissICT,1,ICT / digital,
BBI Züri West,Zürich,http://www.bbi-zueriwest.ch/,Swissmechanic,1,Industry / SMEs,"BBI Züri West, Hardturmstrasse 175, 8005 Zürich"
bbit gmbh,,https://www.swissmadesoftware.org/en/companies/bbit-gmbh/home.html,Swiss Made Software,1,Software,
BBN Spindles SA,Bôle,https://www.bbnsa.ch,Swissmem,1,Industry / engineering,
BBO Bank Brienz Oberhasli AG,3855 Brienz; Brienz BE,http://www.bbobank.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
BBS Vermögensverwaltung Schaffhausen AG,Schaffhausen,,FINMA,1,Regulated financial services,Portfolio manager
BBT Software AG,Root D4,https://www.swissict.ch/company/bbt-software-ag/,swissICT,1,ICT / digital,
